PostalCode,Borough,Neighbourhood,latitude,longitude
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.784910000000025,-79.29721999999998
M4T,Central Toronto,"Moore Park, Summerhill East",43.690480000000036,-79.38317999999998
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65351000000004,-79.39721999999995
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.817810000000065,-79.28043999999994
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68568000000005,-79.40236999999996
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.640820000000076,-79.39817999999997
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.60987000000006,-79.49808999999993
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.744530000000054,-79.58623999999998
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.80079000000006,-79.32161999999994
M4W,Downtown Toronto,Rosedale,43.68190000000004,-79.37828999999994
M5W,Downtown Toronto,Stn A PO Boxes,43.648690000000045,-79.38543999999996
M8W,Etobicoke,"Alderwood, Long Branch",43.601240000000075,-79.53878999999995
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.71174000000008,-79.57940999999994
M1X,Scarborough,Upper Rouge,43.83412000000004,-79.21667999999994
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667880000000025,-79.36648999999994
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64828000000006,-79.38145999999995
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65319000000005,-79.51112999999998
M4Y,Downtown Toronto,Church and Wellesley,43.66659000000004,-79.38132999999993
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.648690000000045,-79.38543999999996
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.632780000000025,-79.48944999999998
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.62513000000007,-79.52680999999995
